"","Sample","Target","1","2","3","4","5","6"
"99","S1_15.1","piab",45,NA,NA,NA,NA,NA
"100","S1_15.2","lyta",45,45,NA,NA,NA,NA
"101","S1_15.2","piab",45,NA,NA,NA,NA,NA
"102","S1_15.3","lyta",45,45,45,NA,NA,NA
"103","S1_15.3","piab",45,NA,NA,NA,NA,NA
"104","S1_15.4","lyta",45,45,NA,NA,NA,NA
"105","S1_15.4","piab",45,NA,NA,NA,NA,NA
"106","S1_15.5","lyta",39.89974872,45,NA,NA,NA,NA
"107","S1_15.5","piab",45,NA,NA,NA,NA,NA
"108","S1_15.6","lyta",45,45,NA,NA,NA,NA
"109","S1_15.6","piab",45,NA,NA,NA,NA,NA
"110","S1_16.1","lyta",45,NA,NA,NA,NA,NA
"111","S1_16.1","piab",45,NA,NA,NA,NA,NA
"112","S1_16.2","lyta",37.0409523125154,NA,NA,NA,NA,NA
"113","S1_16.2","piab",45,NA,NA,NA,NA,NA
"114","S1_16.3","lyta",40.83330203,37.32073882,45,45,NA,NA
"115","S1_16.3","piab",45,NA,NA,NA,NA,NA
"116","S1_16.4","lyta",44.4606986058463,NA,NA,NA,NA,NA
"117","S1_16.4","piab",45,NA,NA,NA,NA,NA
"118","S1_16.5","lyta",45,NA,NA,NA,NA,NA
"119","S1_16.5","piab",45,NA,NA,NA,NA,NA
"120","S1_16.6","lyta",45,NA,NA,NA,NA,NA
"121","S1_16.6","piab",45,NA,NA,NA,NA,NA
"122","S1_17.1","lyta",45,45,NA,NA,NA,NA
"123","S1_17.1","piab",45,39.8937338158994,45,NA,NA,NA
"124","S1_17.2","lyta",45,45.1808216974817,45,NA,NA,NA
"125","S1_17.2","piab",45,38.8901203839044,45,40.0261401943114,45,NA
"126","S1_17.3","lyta",45,45,45,NA,NA,NA
"127","S1_17.3","piab",45,45,45,45,NA,NA
"128","S1_17.4","lyta",40.4470182981976,NA,NA,NA,NA,NA
"129","S1_17.4","piab",45,45,NA,NA,NA,NA
"130","S1_17.5","lyta",45,NA,NA,NA,NA,NA
"131","S1_17.5","piab",45,45,NA,NA,NA,NA
"132","S1_17.6","lyta",45,NA,NA,NA,NA,NA
"133","S1_17.6","piab",45,45,NA,NA,NA,NA
"134","S1_18.1","lyta",45,NA,NA,NA,NA,NA
"135","S1_18.1","piab",45,45,NA,NA,NA,NA
"136","S1_18.2","lyta",45,NA,NA,NA,NA,NA
"137","S1_18.2","piab",45,45,NA,NA,NA,NA
"138","S1_18.3","lyta",45,45,NA,NA,NA,NA
"139","S1_18.3","piab",45,45,NA,NA,NA,NA
"140","S1_18.4","lyta",45,NA,NA,NA,NA,NA
"141","S1_18.4","piab",36.62524628,45,45,NA,NA,NA
"142","S1_18.5","lyta",45,NA,NA,NA,NA,NA
"143","S1_18.5","piab",45,45,NA,NA,NA,NA
"144","S1_18.6","lyta",45,NA,NA,NA,NA,NA
"145","S1_18.6","piab",45,45,NA,NA,NA,NA
"146","S1_19.100000000000001","lyta",45,NA,NA,NA,NA,NA
"147","S1_19.100000000000001","piab",45,NA,NA,NA,NA,NA
"148","S1_19.2","lyta",45,NA,NA,NA,NA,NA
"149","S1_19.2","piab",45,45,NA,NA,NA,NA
"150","S1_19.3","lyta",45,45,45,NA,NA,NA
"151","S1_19.3","piab",45,45,45,NA,NA,NA
"152","S1_19.4","lyta",43.4548619557197,45,NA,NA,NA,NA
"153","S1_19.4","piab",39.3297003941583,45,45,NA,NA,NA
"154","S1_19.5","lyta",45,NA,NA,NA,NA,NA
"155","S1_19.5","piab",45,45,NA,NA,NA,NA
"156","S1_19.6","lyta",45,NA,NA,NA,NA,NA
"157","S1_19.6","piab",45,45,NA,NA,NA,NA
"158","S1_2.1","lyta",45,NA,NA,NA,NA,NA
"159","S1_2.1","piab",45,NA,NA,NA,NA,NA
"160","S1_2.2","lyta",38.4745879823134,45,NA,NA,NA,NA
"161","S1_2.2","piab",45,45,NA,NA,NA,NA
"162","S1_2.3","lyta",37.4302081951327,45,NA,NA,NA,NA
"163","S1_2.3","piab",45,NA,NA,NA,NA,NA
"164","S1_2.4","lyta",45,NA,NA,NA,NA,NA
"165","S1_2.4","piab",45,NA,NA,NA,NA,NA
"166","S1_2.5","lyta",45,NA,NA,NA,NA,NA
"167","S1_2.5","piab",45,NA,NA,NA,NA,NA
"168","S1_2.6","lyta",45,NA,NA,NA,NA,NA
"169","S1_2.6","piab",45,NA,NA,NA,NA,NA
"170","S1_20.1","lyta",45,NA,NA,NA,NA,NA
"171","S1_20.1","piab",45,45,NA,NA,NA,NA
"172","S1_20.2","lyta",45,NA,NA,NA,NA,NA
"173","S1_20.2","piab",45,45,NA,NA,NA,NA
"174","S1_20.3","lyta",45,45,45,NA,NA,NA
"175","S1_20.3","piab",45,45,NA,NA,NA,NA
"176","S1_20.4","lyta",45,NA,NA,NA,NA,NA
"177","S1_20.4","piab",39.45845486,45,39.1352077138208,NA,NA,NA
"178","S1_20.5","lyta",45,NA,NA,NA,NA,NA
"179","S1_20.5","piab",45,NA,NA,NA,NA,NA
"180","S1_20.6","lyta",45,NA,NA,NA,NA,NA
"181","S1_20.6","piab",45,45,NA,NA,NA,NA
"182","S1_21.1","lyta",45,NA,NA,NA,NA,NA
"183","S1_21.1","piab",45,45,NA,NA,NA,NA
"184","S1_21.2","lyta",45,NA,NA,NA,NA,NA
"185","S1_21.2","piab",45,45,NA,NA,NA,NA
"186","S1_21.3","lyta",45,45,45,NA,NA,NA
"187","S1_21.3","piab",45,45,45,45,NA,NA
"188","S1_21.4","lyta",44.9004801610896,35.8194484120687,36.1607897194119,NA,NA,NA
"189","S1_21.4","piab",37.55789924,38.1215896240248,45,45,37.0319008938056,NA
"190","S1_21.5","lyta",45,NA,NA,NA,NA,NA
"191","S1_21.5","piab",45,45,NA,NA,NA,NA
"192","S1_21.6","lyta",45,NA,NA,NA,NA,NA
"193","S1_21.6","piab",45,45,NA,NA,NA,NA
"194","S1_22.1","lyta",45,NA,NA,NA,NA,NA
"195","S1_22.1","piab",45,NA,NA,NA,NA,NA
"196","S1_22.2","lyta",45,NA,NA,NA,NA,NA
"197","S1_22.2","piab",45,NA,NA,NA,NA,NA
"198","S1_22.3","lyta",45,45,45,NA,NA,NA
"199","S1_22.3","piab",45,NA,NA,NA,NA,NA
"200","S1_22.4","lyta",45,NA,NA,NA,NA,NA
"201","S1_22.4","piab",45,NA,NA,NA,NA,NA
"202","S1_22.5","lyta",45,NA,NA,NA,NA,NA
"203","S1_22.5","piab",45,NA,NA,NA,NA,NA
"204","S1_22.6","lyta",45,NA,NA,NA,NA,NA
"205","S1_22.6","piab",45,NA,NA,NA,NA,NA
"206","S1_23.1","lyta",45,NA,NA,NA,NA,NA
"207","S1_23.1","piab",45,45,NA,NA,NA,NA
"208","S1_23.2","lyta",45,NA,NA,NA,NA,NA
"209","S1_23.2","piab",45,NA,NA,NA,NA,NA
"210","S1_23.3","lyta",45,NA,NA,NA,NA,NA
"211","S1_23.3","piab",45,NA,NA,NA,NA,NA
"212","S1_23.4","lyta",45,45,NA,NA,NA,NA
"213","S1_23.4","piab",40.6339816281402,45,45,NA,NA,NA
"214","S1_23.5","lyta",45,NA,NA,NA,NA,NA
"215","S1_23.5","piab",45,NA,NA,NA,NA,NA
"216","S1_23.6","lyta",45,NA,NA,NA,NA,NA
"217","S1_23.6","piab",45,NA,NA,NA,NA,NA
"218","S1_24.1","lyta",45,NA,NA,NA,NA,NA
"219","S1_24.1","piab",45,45,NA,NA,NA,NA
"220","S1_24.2","lyta",45,NA,NA,NA,NA,NA
"221","S1_24.2","piab",45,NA,NA,NA,NA,NA
"222","S1_24.3","lyta",37.4205851,45,45,NA,NA,NA
"223","S1_24.3","piab",45,NA,NA,NA,NA,NA
"224","S1_24.4","lyta",45,NA,NA,NA,NA,NA
"225","S1_24.4","piab",45,NA,NA,NA,NA,NA
"226","S1_24.5","lyta",45,NA,NA,NA,NA,NA
"227","S1_24.5","piab",45,NA,NA,NA,NA,NA
"228","S1_24.6","lyta",45,NA,NA,NA,NA,NA
"229","S1_24.6","piab",45,NA,NA,NA,NA,NA
"230","S1_25.1","lyta",45,NA,NA,NA,NA,NA
"231","S1_25.1","piab",45,45,NA,NA,NA,NA
"232","S1_25.2","lyta",38.716500355621,NA,NA,NA,NA,NA
"233","S1_25.2","piab",45,45,NA,NA,NA,NA
"234","S1_25.3","lyta",45,45,NA,NA,NA,NA
"235","S1_25.3","piab",45,NA,NA,NA,NA,NA
"236","S1_25.4","lyta",45,NA,NA,NA,NA,NA
"237","S1_25.4","piab",45,NA,NA,NA,NA,NA
"238","S1_25.5","lyta",45,NA,NA,NA,NA,NA
"239","S1_25.5","piab",45,NA,NA,NA,NA,NA
"240","S1_25.6","lyta",45,NA,NA,NA,NA,NA
"241","S1_25.6","piab",45,NA,NA,NA,NA,NA
"242","S1_26.1","lyta",45,NA,NA,NA,NA,NA
"243","S1_26.1","piab",45,NA,NA,NA,NA,NA
