,Sample,plate,lyta,piab,pos,,,,,,,,
119,21.2,4,NA,45,FALSE,,,,,,,,
120,21.3,6,NA,45,FALSE,,,,,,,,
121,21.6,12,45,45,FALSE,,,,,,,,
122,22.1,1,45,45,FALSE,,,,,,,,
123,22.2,4,NA,45,FALSE,,,,,,,,
124,22.3,6,NA,45,FALSE,,,,,,,,
125,22.5,10,45,45,FALSE,,,,,,,,
126,22.6,12,45,45,FALSE,,,,,,,,
127,23.1,1,45,45,FALSE,,,,,,,,
128,23.2,4,NA,45,FALSE,,,,,,,,
129,23.3,6,NA,45,FALSE,,,,,,,,
130,23.5,10,45,45,FALSE,,,,,,,,
131,23.6,12,45,45,FALSE,,,,,,,,
132,24.1,1,45,45,FALSE,,,,,,,,
133,24.2,4,NA,45,FALSE,,,,,,,,
134,24.3,6,NA,45,FALSE,,,,,,,,
135,24.5,10,45,45,FALSE,,,,,,,,
136,24.6,12,45,45,FALSE,,,,,,,,
137,25.1,1,45,45,FALSE,,,,,,,,
138,25.2,4,NA,45,FALSE,,,,,,,,
139,25.3,6,NA,45,FALSE,,,,,,,,
140,25.5,10,45,45,FALSE,,,,,,,,
141,25.6,12,45,45,FALSE,,,,,,,,
142,26.1,1,45,45,FALSE,,,,,,,,
143,26.2,4,NA,45,FALSE,,,,,,,,
144,26.3,6,NA,45,FALSE,,,,,,,,
145,26.5,10,45,45,FALSE,,,,,,,,
146,26.6,12,45,45,FALSE,,,,,,,,
147,27.1,1,45,45,FALSE,,,,,,,,
148,27.2,4,NA,45,FALSE,,,,,,,,
149,27.3,7,NA,45,FALSE,,,,,,,,
150,27.5,10,45,45,FALSE,,,,,,,,
151,27.6,12,45,45,FALSE,,,,,,,,
152,28.1,1,22.17666926,45,FALSE,,,,,,,,
153,28.2,4,NA,45,FALSE,,,,,,,,
154,28.3,7,NA,45,FALSE,,,,,,,,
155,28.5,10,23.69945992,45,FALSE,,,,,,,,
156,28.6,12,22.45408869,45,FALSE,,,,,,,,
157,29.1,1,24.24556524,45,FALSE,,,,,,,,
158,29.2,4,NA,45,FALSE,,,,,,,,
159,29.3,7,NA,45,FALSE,,,,,,,,
160,29.5,10,25.53621023,45,FALSE,,,,,,,,
161,29.6,12,25.65722805,45,FALSE,,,,,,,,
162,30.1,1,45,45,FALSE,,,,,,,,
163,30.2,4,NA,45,FALSE,,,,,,,,
164,30.3,7,NA,45,FALSE,,,,,,,,
165,30.5,10,45,45,FALSE,,,,,,,,
166,30.6,12,45,45,FALSE,,,,,,,,
167,31.1,1,45,45,FALSE,,,,,,,,
168,31.2,4,NA,45,FALSE,,,,,,,,
169,31.3,7,NA,45,FALSE,,,,,,,,
170,31.5,10,45,45,FALSE,,,,,,,,
171,31.6,12,45,45,FALSE,,,,,,,,
172,32.1,1,45,45,FALSE,,,,,,,,
173,32.2,4,NA,45,FALSE,,,,,,,,
174,32.3,7,NA,45,FALSE,,,,,,,,
175,32.5,10,45,45,FALSE,,,,,,,,
176,32.6,12,45,45,FALSE,,,,,,,,
177,33.1,3,30.6712255,30.17833865,TRUE,,,,,,,,
