"","Sample","variable","lyta","piab","pos"
"129","S1_27.2","Cq",45,45,FALSE
"130","S1_27.3","Cq",45,45,FALSE
"131","S1_27.4","Cq",45,45,FALSE
"132","S1_27.5","Cq",45,45,FALSE
"133","S1_27.6","Cq",45,45,FALSE
"134","S1_28.1","Cq",22.1766692607417,45,FALSE
"135","S1_28.2","Cq",26.3403484881413,45,FALSE
"136","S1_28.3","Cq",23.5903075463299,45,FALSE
"137","S1_28.4","Cq",25.8095156880442,45,FALSE
"138","S1_28.5","Cq",24.1616581389243,45,FALSE
"139","S1_28.6","Cq",25.3079150524217,45,FALSE
"140","S1_29.1","Cq",24.2455652392519,45,FALSE
"141","S1_29.2","Cq",21.6027603181027,45,FALSE
"142","S1_29.3","Cq",27.7110905209066,45,FALSE
"143","S1_29.4","Cq",26.0112651807349,39.0307163760368,TRUE
"144","S1_29.5","Cq",25.9547643608801,45,FALSE
"145","S1_29.6","Cq",28.7255329411526,45,FALSE
"146","S1_3.1","Cq",28.3132588842782,27.5649047729576,TRUE
"147","S1_3.2","Cq",25.0650798275618,26.0962915435147,TRUE
"148","S1_3.3","Cq",19.7234102253835,20.0712638105098,TRUE
"149","S1_3.4","Cq",33.234796912035,32.2529590819187,TRUE
"150","S1_3.5","Cq",23.0670993799938,21.9782357615276,TRUE
"151","S1_3.6","Cq",27.5833702183879,26.7187939421651,TRUE
"152","S1_30.1","Cq",45,45,FALSE
"153","S1_30.2","Cq",45,45,FALSE
"154","S1_30.3","Cq",45,45,FALSE
"155","S1_30.4","Cq",45,45,FALSE
"156","S1_30.5","Cq",45,45,FALSE
"157","S1_30.6","Cq",45,45,FALSE
"158","S1_31.1","Cq",45,45,FALSE
"159","S1_31.2","Cq",45,45,FALSE
"160","S1_31.3","Cq",45,45,FALSE
"161","S1_31.4","Cq",45,45,FALSE
"162","S1_31.5","Cq",45,45,FALSE
"163","S1_31.6","Cq",45,45,FALSE
"164","S1_32.1","Cq",45,45,FALSE
"165","S1_32.2","Cq",45,45,FALSE
"166","S1_32.3","Cq",45,45,FALSE
"167","S1_32.4","Cq",45,45,FALSE
"168","S1_32.5","Cq",45,45,FALSE
"169","S1_32.6","Cq",45,45,FALSE
"170","S1_33.1","Cq",30.6712254966198,30.1236677577973,TRUE
"171","S1_33.2","Cq",28.9411367216727,29.4076463585874,TRUE
"172","S1_33.3","Cq",27.1988854542884,27.2274650281319,TRUE
"173","S1_33.4","Cq",22.65570639865,22.997667652866,TRUE
"174","S1_33.5","Cq",38.9580562474595,45,FALSE
"175","S1_33.6","Cq",33.5028061460122,30.0408153566075,TRUE
"176","S1_34.1","Cq",22.1469421203051,45,FALSE
"177","S1_34.2","Cq",25.2998374050096,38.4421703340177,TRUE
"178","S1_34.3","Cq",22.9753480353861,45,FALSE
"179","S1_34.4","Cq",25.737275475299,37.6812935731423,TRUE
"180","S1_34.5","Cq",25.7460587143805,45,FALSE
"181","S1_34.6","Cq",25.6514980062253,45,FALSE
"182","S1_35.1","Cq",19.9550024017987,45,FALSE
"183","S1_35.2","Cq",23.7033767519504,45,FALSE
"184","S1_35.3","Cq",21.8185598602083,45,FALSE
"185","S1_35.4","Cq",24.6395044856326,38.81207309,TRUE
"186","S1_35.5","Cq",23.5969307241439,45,FALSE
"187","S1_35.6","Cq",26.5573478227013,45,FALSE
"188","S1_36.1","Cq",33.9859645733477,39.2522135583653,TRUE
"189","S1_36.2","Cq",29.5836326150317,34.17099937,TRUE
"190","S1_36.3","Cq",25.6676726584711,37.9548006609181,TRUE
"191","S1_36.4","Cq",24.5550031963161,38.3936100978096,TRUE
"192","S1_36.5","Cq",28.917507717951,38.5339690960164,TRUE
"193","S1_36.6","Cq",25.9189817720753,45,FALSE
"194","S1_37.1","Cq",45,45,FALSE
"195","S1_37.2","Cq",45,45,FALSE
"196","S1_37.3","Cq",45,45,FALSE
"197","S1_37.4","Cq",45,45,FALSE
"198","S1_37.5","Cq",45,45,FALSE
"199","S1_37.6","Cq",45,45,FALSE
"200","S1_38.1","Cq",9999,45,FALSE
"201","S1_39.1","Cq",9999,45,FALSE
"202","S1_4.1","Cq",27.4314497332336,37.0365386455085,TRUE
"203","S1_4.2","Cq",45,45,FALSE
"204","S1_4.3","Cq",45,45,FALSE
"205","S1_4.4","Cq",45,45,FALSE
"206","S1_4.5","Cq",45,45,FALSE
"207","S1_4.6","Cq",45,45,FALSE
"208","S1_40.1","Cq",45,45,FALSE
"209","S1_40.2","Cq",36.2099189646027,36.7966158834077,TRUE
"210","S1_40.3","Cq",45,45,FALSE
