"","Sample","plate","variable","lyta","piab","pos"
"110",13.2,4,"Cq",9999,45,FALSE
"111",13.2,5,"Cq",45,9999,FALSE
"112",13.3,8,"Cq",45,9999,FALSE
"113",13.3,9,"Cq",9999,45,FALSE
"114",13.4,12,"Cq",45,45,FALSE
"115",13.5,15,"Cq",45,45,FALSE
"116",13.6,17,"Cq",45,45,FALSE
"117",14.1,1,"Cq",45,45,FALSE
"118",14.2,4,"Cq",9999,45,FALSE
"119",14.2,5,"Cq",45,9999,FALSE
"120",14.3,8,"Cq",36.1023181839181,9999,FALSE
"121",14.3,9,"Cq",9999,45,FALSE
"122",14.3,22,"Cq",39.3067322362386,45,FALSE
"123",14.4,12,"Cq",45,45,FALSE
"124",14.5,16,"Cq",40.1101231346528,45,FALSE
"125",14.6,17,"Cq",45,45,FALSE
"126",15.1,1,"Cq",45,45,FALSE
"127",15.2,4,"Cq",9999,45,FALSE
"128",15.2,5,"Cq",45,9999,FALSE
"129",15.3,8,"Cq",45,9999,FALSE
"130",15.3,9,"Cq",9999,45,FALSE
"131",15.4,12,"Cq",45,45,FALSE
"132",15.5,16,"Cq",45,45,FALSE
"133",15.6,17,"Cq",45,45,FALSE
"134",16.1,1,"Cq",45,45,FALSE
"135",16.2,4,"Cq",9999,45,FALSE
"136",16.2,5,"Cq",37.0409523125154,9999,FALSE
"137",16.3,8,"Cq",45,9999,FALSE
"138",16.3,9,"Cq",9999,45,FALSE
"139",16.4,13,"Cq",9999,45,FALSE
"140",16.4,14,"Cq",44.4606986058463,9999,FALSE
"141",16.5,16,"Cq",45,45,FALSE
"142",16.6,17,"Cq",45,45,FALSE
"143",17.1,1,"Cq",45,45,FALSE
"144",17.2,4,"Cq",9999,38.8901203839044,FALSE
"145",17.2,5,"Cq",45,9999,FALSE
"146",17.2,22,"Cq",45.1808216974817,45,FALSE
"147",17.3,8,"Cq",45,9999,FALSE
"148",17.3,9,"Cq",9999,45,FALSE
"149",17.4,13,"Cq",9999,45,FALSE
"150",17.4,14,"Cq",40.4470182981976,9999,FALSE
"151",17.5,16,"Cq",45,45,FALSE
"152",17.6,18,"Cq",45,45,FALSE
"153",18.1,1,"Cq",45,45,FALSE
"154",18.2,4,"Cq",9999,45,FALSE
"155",18.2,5,"Cq",45,9999,FALSE
"156",18.3,8,"Cq",45,9999,FALSE
"157",18.3,9,"Cq",9999,45,FALSE
"158",18.4,13,"Cq",9999,45,FALSE
"159",18.4,14,"Cq",45,9999,FALSE
"160",18.5,16,"Cq",45,45,FALSE
"161",18.6,18,"Cq",45,45,FALSE
"162",19.1,3,"Cq",45,45,FALSE
"163",19.2,4,"Cq",9999,45,FALSE
"164",19.2,5,"Cq",45,9999,FALSE
"165",19.3,8,"Cq",45,9999,FALSE
"166",19.3,9,"Cq",9999,45,FALSE
"167",19.4,13,"Cq",9999,39.3297003941583,FALSE
"168",19.4,14,"Cq",43.4548619557197,9999,FALSE
"169",19.4,22,"Cq",45,45,FALSE
"170",19.5,16,"Cq",45,45,FALSE
"171",19.6,18,"Cq",45,45,FALSE
"172",20.1,1,"Cq",45,45,FALSE
"173",20.2,4,"Cq",9999,45,FALSE
"174",20.2,5,"Cq",45,9999,FALSE
"175",20.3,8,"Cq",45,9999,FALSE
"176",20.3,9,"Cq",9999,45,FALSE
"177",20.4,13,"Cq",9999,45,FALSE
"178",20.4,14,"Cq",45,9999,FALSE
"179",20.5,23,"Cq",45,45,FALSE
"180",20.5,24,"Cq",45,45,FALSE
"181",20.6,18,"Cq",45,45,FALSE
"182",21.1,1,"Cq",45,45,FALSE
"183",21.2,4,"Cq",9999,45,FALSE
"184",21.2,5,"Cq",45,9999,FALSE
"185",21.3,8,"Cq",45,9999,FALSE
"186",21.3,9,"Cq",9999,45,FALSE
"187",21.4,13,"Cq",9999,38.1215896240248,FALSE
"188",21.4,14,"Cq",44.9004801610896,9999,FALSE
"189",21.4,22,"Cq",35.8194484120687,45,FALSE
"190",21.5,23,"Cq",45,45,FALSE
"191",21.5,24,"Cq",45,45,FALSE
