"","Sample","plate","lyta","piab","pos"
"162",21.1,1,45,45,FALSE
"163",21.2,4,NA,45,FALSE
"164",21.2,5,45,NA,FALSE
"165",21.3,8,NA,45,FALSE
"166",21.3,9,45,NA,FALSE
"167",21.4,14,44.9004801610896,NA,FALSE
"168",21.6,18,45,45,FALSE
"169",22.1,1,45,45,FALSE
"170",22.2,4,NA,45,FALSE
"171",22.2,5,45,NA,FALSE
"172",22.3,8,NA,45,FALSE
"173",22.3,9,45,NA,FALSE
"174",22.4,14,45,NA,FALSE
"175",22.5,16,45,45,FALSE
"176",22.6,18,45,45,FALSE
"177",23.1,1,45,45,FALSE
"178",23.2,4,NA,45,FALSE
"179",23.2,5,45,NA,FALSE
"180",23.2,9,45,NA,FALSE
"181",23.3,8,NA,45,FALSE
"182",23.4,14,45,NA,FALSE
"183",23.5,16,45,45,FALSE
"184",23.6,18,45,45,FALSE
"185",24.1,1,45,45,FALSE
"186",24.2,4,NA,45,FALSE
"187",24.2,5,45,NA,FALSE
"188",24.3,8,NA,45,FALSE
"189",24.3,9,45,NA,FALSE
"190",24.5,16,45,45,FALSE
"191",24.6,18,45,45,FALSE
"192",25.1,1,45,45,FALSE
"193",25.2,4,NA,45,FALSE
"194",25.2,5,38.716500355621,NA,NA
"195",25.3,8,NA,45,FALSE
"196",25.3,9,45,NA,FALSE
"197",25.4,14,45,NA,FALSE
"198",25.5,16,45,45,FALSE
"199",25.6,18,45,45,FALSE
"200",26.1,1,45,45,FALSE
"201",26.2,4,NA,45,FALSE
"202",26.2,5,37.0017576358758,NA,NA
"203",26.3,8,NA,45,FALSE
"204",26.3,9,38.4276408411643,NA,NA
"205",26.4,14,44.0562714644431,NA,FALSE
"206",26.5,16,45,45,FALSE
"207",26.6,18,45,45,FALSE
"208",27.1,1,45,45,FALSE
"209",27.2,4,NA,45,FALSE
"210",27.2,5,45,NA,FALSE
"211",27.3,9,45,NA,FALSE
"212",27.3,10,NA,45,FALSE
"213",27.3,11,45,NA,FALSE
"214",27.3,12,45,NA,FALSE
"215",27.4,14,45,NA,FALSE
"216",27.5,16,45,45,FALSE
"217",27.6,18,45,45,FALSE
"218",28.1,1,22.1766692607417,45,FALSE
"219",28.2,4,NA,45,FALSE
"220",28.2,5,26.3403484881413,NA,NA
"221",28.3,9,25.1002164801498,NA,NA
"222",28.3,10,NA,45,FALSE
"223",28.3,11,22.08039861251,NA,NA
"224",28.3,12,20.7904289784781,NA,NA
"225",28.4,14,25.8095156880442,NA,NA
"226",28.5,16,24.1616581389243,45,FALSE
"227",28.6,18,25.3079150524217,45,FALSE
"228",29.1,1,24.2455652392519,45,FALSE
"229",29.2,4,NA,45,FALSE
"230",29.2,5,21.6027603181027,NA,NA
"231",29.3,9,31.9848170944523,NA,NA
"232",29.3,10,NA,45,FALSE
"233",29.3,11,23.4373639473608,NA,NA
"234",29.3,12,22.0573303742458,NA,NA
"235",29.4,14,26.0112651807349,NA,NA
"236",29.5,16,25.9547643608801,45,FALSE
"237",29.6,18,28.7255329411526,45,FALSE
"238",30.1,1,45,45,FALSE
"239",30.2,4,NA,45,FALSE
"240",30.2,5,45,NA,FALSE
"241",30.3,9,45,NA,FALSE
"242",30.3,10,NA,45,FALSE
"243",30.3,11,45,NA,FALSE
"244",30.3,12,45,NA,FALSE
"245",30.4,14,45,NA,FALSE
"246",30.5,16,45,45,FALSE
"247",30.6,18,45,45,FALSE
"248",31.1,1,45,45,FALSE
"249",31.2,4,NA,45,FALSE
"250",31.2,5,45,NA,FALSE
"251",31.3,9,45,NA,FALSE
"252",31.3,10,NA,45,FALSE
"253",31.3,11,45,NA,FALSE
"254",31.3,12,45,NA,FALSE
"255",31.4,14,43.8316244038288,NA,FALSE
"256",31.5,16,45,45,FALSE
"257",31.6,18,45,45,FALSE
"258",32.1,1,45,45,FALSE
"259",32.2,4,NA,45,FALSE
"260",32.2,5,45,NA,FALSE
"261",32.3,9,45,NA,FALSE
"262",32.3,10,NA,45,FALSE
"263",32.3,11,45,NA,FALSE
"264",32.3,12,45,NA,FALSE
"265",32.4,14,45,NA,FALSE
"266",32.5,16,45,45,FALSE
"267",32.6,18,45,45,FALSE
"268",33.2,4,NA,29.3349386271749,NA
"269",33.2,5,28.9411367216727,NA,NA
"270",33.3,10,NA,27.0918360954138,NA
"271",33.3,11,27.1988854542884,NA,NA
"272",33.3,12,25.9496764545946,NA,NA
"273",33.4,5,21.9814716138855,NA,NA
"274",33.4,14,23.3299411834145,NA,NA
"275",33.5,16,45,45,FALSE
"276",33.6,18,33.5028061460122,30.793714843215,TRUE
"277",34.1,1,22.1469421203051,45,FALSE
"278",34.2,4,NA,38.4421703340177,NA
"279",34.2,5,22.1343538455459,NA,NA
"280",34.3,10,NA,45,FALSE
"281",34.3,11,22.9753480353861,NA,NA
"282",34.3,12,21.3821289768666,NA,NA
"283",34.4,14,23.6153773230255,NA,NA
"284",34.5,16,25.7460587143805,45,FALSE
"285",34.6,18,25.6514980062253,45,FALSE
"286",35.1,1,19.9550024017987,45,FALSE
"287",35.2,4,NA,45,FALSE
"288",35.2,5,23.7033767519504,NA,NA
"289",35.3,10,NA,45,FALSE
"290",35.3,11,21.8185598602083,NA,NA
"291",35.3,12,20.2879126892832,NA,NA
"292",35.4,14,24.6395044856326,NA,NA
"293",35.5,16,23.5969307241439,45,FALSE
"294",35.6,18,26.5573478227013,45,FALSE
"295",36.2,6,NA,45,FALSE
"296",36.2,7,26.43865573,NA,NA
"297",36.3,10,NA,45,FALSE
"298",36.3,11,22.8003047382683,NA,NA
"299",36.3,12,21.1655135943593,NA,NA
"300",36.4,14,21.6202953853141,NA,NA
"301",36.5,16,26.8018206108438,38.5339690960164,TRUE
"302",36.6,18,24.7326810394756,45,FALSE
"303",37.1,1,45,42.9538161396531,FALSE
"304",37.1,4,NA,45,FALSE
"305",37.1,5,45,NA,FALSE
"306",37.1,9,45,NA,FALSE
"307",37.2,6,NA,45,FALSE
"308",37.2,7,45,NA,FALSE
"309",37.3,10,NA,45,FALSE
"310",37.3,11,45,NA,FALSE
"311",37.3,12,45,NA,FALSE
"312",37.4,14,45,NA,FALSE
"313",37.5,16,45,45,FALSE
"314",37.6,18,45,45,FALSE
"315",38.1,1,45,45,FALSE
"316",39.1,1,40.4175777768269,45,FALSE
"317",40.1,1,45,45,FALSE
"318",40.2,6,NA,39.9724892171153,NA
"319",40.2,7,45,NA,FALSE
"320",40.3,10,NA,45,FALSE
"321",40.3,11,45,NA,FALSE
"322",40.3,12,37.1850855225861,NA,NA
"323",40.4,13,45,NA,FALSE
"324",40.4,14,45,NA,FALSE
"325",40.5,16,45,45,FALSE
"326",40.6,18,45,45,FALSE
"327",41.2,6,NA,22.0931602829382,NA
"328",41.2,7,20.38183456,NA,NA
"329",41.3,10,NA,27.5690200473133,NA
"330",41.3,11,38.0952848610418,NA,NA
"331",41.3,12,25.1152540481668,NA,NA
"332",41.4,14,20.2283445892635,NA,NA
"333",41.5,16,23.4085931558306,22.9196101564778,TRUE
"334",41.6,18,19.1687704204476,17.821008263282,TRUE
"335",42.1,1,45,35.9988161990365,FALSE
"336",42.1,4,NA,45,FALSE
"337",42.1,5,45,NA,FALSE
"338",42.1,9,45,NA,FALSE
"339",42.2,6,NA,45,FALSE
"340",42.2,7,45,NA,FALSE
"341",42.3,10,NA,45,FALSE
"342",42.3,11,45,NA,FALSE
"343",42.3,12,45,NA,FALSE
"344",42.4,14,45,NA,FALSE
"345",42.5,16,45,45,FALSE
"346",42.6,18,45,45,FALSE
"347",43.1,1,45,45,FALSE
"348",43.2,6,NA,45,FALSE
"349",43.2,7,37.47612385,NA,NA
"350",43.3,10,NA,38.304431456844,NA
"351",43.3,11,37.1095830152808,NA,NA
"352",43.3,12,45,NA,FALSE
"353",43.4,14,45,NA,FALSE
"354",43.5,16,45,45,FALSE
"355",43.6,18,45,38.9017818975391,FALSE
"356",44.1,1,45,37.3141475272678,FALSE
"357",44.2,6,NA,45,FALSE
"358",44.2,7,45,NA,FALSE
"359",44.3,10,NA,45,FALSE
"360",44.3,11,45,NA,FALSE
"361",44.3,12,45,NA,FALSE
"362",44.4,14,33.091408581142,NA,NA
"363",44.5,16,45,45,FALSE
"364",44.6,18,45,45,FALSE
"365",45.1,1,45,37.2297331466863,FALSE
"366",45.1,4,NA,45,FALSE
"367",45.1,5,45,NA,FALSE
"368",45.1,9,45,NA,FALSE
"369",45.2,6,NA,45,FALSE
"370",45.2,7,45,NA,FALSE
"371",45.3,10,NA,45,FALSE
"372",45.3,11,38.5050730578286,NA,NA
"373",45.3,12,45,NA,FALSE
"374",45.4,14,45,NA,FALSE
"375",45.5,16,45,45,FALSE
"376",45.6,18,45,45,FALSE
"377",46.1,1,38.4198869178005,45,FALSE
"378",46.2,6,NA,45,FALSE
"379",46.2,7,45,NA,FALSE
"380",46.3,10,NA,45,FALSE
"381",46.3,11,45,NA,FALSE
"382",46.3,12,45,NA,FALSE
"383",46.4,14,45,NA,FALSE
"384",46.5,16,39.4456423749819,45,FALSE
"385",46.6,18,45,45,FALSE
"386",47.1,1,45,40.4697611438442,FALSE
"387",47.2,6,NA,45,FALSE
"388",47.2,7,45,NA,FALSE
"389",47.3,10,NA,45,FALSE
"390",47.3,11,36.9616698480213,NA,NA
"391",47.3,12,45,NA,FALSE
"392",47.4,14,45,NA,FALSE
"393",47.5,16,45,45,FALSE
"394",47.6,18,45,45,FALSE
"395",50.1,1,37.689618623943,45,FALSE
"396",50.2,6,NA,45,FALSE
"397",50.2,7,25.07631254,NA,NA
"398",50.3,10,NA,45,FALSE
"399",50.3,11,29.1631913727106,NA,NA
"400",50.3,12,27.2256969550242,NA,NA
"401",50.4,14,26.2492143423172,NA,NA
"402",50.5,16,29.4189050744338,45,FALSE
"403",50.6,18,30.0314150789465,45,FALSE
"404",51.1,1,45,45,FALSE
"405",51.2,6,NA,45,FALSE
"406",51.2,7,36.80744468,NA,NA
"407",51.3,10,NA,45,FALSE
"408",51.3,11,37.1031630316145,NA,NA
"409",51.3,12,36.9289025868624,NA,NA
"410",51.4,14,39.6782346063049,NA,NA
"411",51.5,16,45,45,FALSE
"412",51.6,18,44.8094145431389,45,FALSE
"413",52.1,2,45,45,FALSE
"414",52.2,6,NA,45,FALSE
"415",52.2,7,45,NA,FALSE
"416",52.3,10,NA,45,FALSE
"417",52.3,11,45,NA,FALSE
"418",52.3,12,35.9145262666554,NA,NA
"419",52.4,14,45,NA,FALSE
"420",52.5,16,45,45,FALSE
"421",52.6,18,45,45,FALSE
"422",53.1,2,45,45,FALSE
"423",53.2,6,NA,45,FALSE
"424",53.2,7,45,NA,FALSE
"425",53.3,10,NA,45,FALSE
"426",53.3,11,45,NA,FALSE
"427",53.3,12,45,NA,FALSE
"428",53.4,14,45,NA,FALSE
"429",53.5,16,45,45,FALSE
"430",53.6,18,45,45,FALSE
"431",54.1,2,45,45,FALSE
"432",54.2,6,NA,45,FALSE
"433",54.2,7,45,NA,FALSE
"434",54.3,10,NA,45,FALSE
"435",54.3,11,45,NA,FALSE
"436",54.3,12,45,NA,FALSE
"437",54.4,14,45,NA,FALSE
"438",54.5,16,45,45,FALSE
"439",54.6,18,45,45,FALSE
"440",55.1,2,45,45,FALSE
"441",55.2,6,NA,45,FALSE
"442",55.2,7,45,NA,FALSE
"443",55.3,10,NA,45,FALSE
"444",55.3,11,45,NA,FALSE
"445",55.3,12,45,NA,FALSE
"446",55.4,14,45,NA,FALSE
"447",55.5,16,45,38.9183818612371,FALSE
"448",55.6,18,45,45,FALSE
"449",56.1,2,45,45,FALSE
"450",56.2,6,NA,45,FALSE
"451",56.2,7,45,NA,FALSE
"452",56.3,10,NA,45,FALSE
"453",56.3,11,45,NA,FALSE
"454",56.3,12,45,NA,FALSE
"455",56.4,19,45,45,FALSE
"456",56.5,16,45,45,FALSE
"457",56.6,18,45,45,FALSE
"458",57.2,6,NA,45,FALSE
"459",57.2,7,45,NA,FALSE
"460",57.3,10,NA,45,FALSE
"461",57.3,11,38.7474558815533,NA,NA
"462",57.3,12,45,NA,FALSE
"463",57.4,19,45,45,FALSE
"464",57.5,16,45,45,FALSE
"465",57.6,18,45,45,FALSE
"466",60.2,6,NA,45,FALSE
"467",60.2,7,31.89237611,NA,NA
"468",60.3,10,NA,45,FALSE
"469",60.3,11,31.0302567028728,NA,NA
"470",60.3,12,29.6684796570006,NA,NA
"471",60.4,14,36.4159608332748,NA,NA
"472",60.5,16,31.7776620529965,45,FALSE
"473",60.6,18,38.499271860713,45,FALSE
"474",61.1,2,24.458202823538,45,FALSE
"475",61.2,6,NA,45,FALSE
"476",61.2,7,29.12968156,NA,NA
"477",61.3,10,NA,45,FALSE
"478",61.3,11,35.1792508006858,NA,NA
"479",61.3,12,33.3339823225683,NA,NA
"480",61.4,14,45,NA,FALSE
"481",61.5,16,39.7104664885872,45,FALSE
"482",61.6,18,41.7897636751788,45,FALSE
"483",62.1,2,45,45,FALSE
"484",62.3,10,NA,45,FALSE
"485",62.3,11,45,NA,FALSE
"486",62.3,12,45,NA,FALSE
"487",62.4,14,45,NA,FALSE
"488",62.5,16,35.5413483753388,33.5454960069469,TRUE
"489",62.6,18,45,45,FALSE
"490",63.3,10,NA,45,FALSE
"491",63.3,11,45,NA,FALSE
"492",63.3,12,45,NA,FALSE
"493",63.4,14,45,NA,FALSE
"494",63.5,17,45,45,FALSE
"495",63.6,18,34.8908047358396,32.5740357870963,TRUE
"496",64.1,2,21.9993369849721,45,FALSE
"497",64.2,6,NA,45,FALSE
"498",64.2,7,28.24154219,NA,NA
"499",64.3,10,NA,45,FALSE
"500",64.3,11,23.6683502575944,NA,NA
"501",64.3,12,22.7380877068864,NA,NA
"502",64.4,14,25.0895815323971,NA,NA
"503",64.5,17,24.5710044785636,45,FALSE
"504",64.6,19,29.0491929700786,45,FALSE
"505",65.1,2,45,45,FALSE
"506",65.2,6,NA,45,FALSE
"507",65.2,7,45,NA,FALSE
"508",65.3,10,NA,36.9569941890768,NA
"509",65.3,11,45,NA,FALSE
"510",65.3,12,45,NA,FALSE
"511",65.4,15,45,45,FALSE
"512",65.5,17,45,45,FALSE
"513",65.6,19,45,45,FALSE
"514",66.1,2,45,45,FALSE
"515",66.2,6,NA,45,FALSE
"516",66.2,7,45,NA,FALSE
"517",66.3,10,NA,45,FALSE
"518",66.3,11,38.3730362319526,NA,NA
"519",66.3,12,45,NA,FALSE
"520",66.4,15,45,45,FALSE
"521",66.5,17,45,45,FALSE
